Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,GPA_Change_Over_Semester,Percentage_Of_AI_Usage,Weekly_Study_Hours
100001,Humanities,Senior,2.418,Copywriting/Drafting,Beginner,1,TRUE,5,Allowed_With_Citation,6,2.393,86.44,High,0.025,0.741,31.44
100002,Medical,Junior,3.821,Ideation,Advanced,5,FALSE,3,Allowed_With_Citation,9,3.696,69.39,Low,0.125,0.063,17.77
100003,Business,Freshman,3.398,Summarizing_Reading,Beginner,2,FALSE,5,Strict_Ban,9,3.499,73.93,Medium,-0.101,0.673,31.61
100004,Business,Senior,3.789,Copywriting/Drafting,Intermediate,4,FALSE,2,Allowed_With_Citation,2,4,63.58,Medium,-0.211,0.107,17.05
100005,STEM,Sophomore,3.635,Debugging/Troubleshooting,Advanced,4,FALSE,4,Allowed_With_Citation,4,3.798,100,Medium,-0.163,0.425,21.84
100006,STEM,Junior,3.449,Debugging/Troubleshooting,Beginner,1,FALSE,4,Allowed_With_Citation,5,3.666,65.92,High,-0.217,0.314,20.69
100007,STEM,Freshman,3.622,Summarizing_Reading,Advanced,5,TRUE,8,Allowed_With_Citation,7,4,67.97,Medium,-0.378,0.706,44.52
100008,Arts,Junior,2.746,Copywriting/Drafting,Intermediate,3,FALSE,2,Actively_Encouraged,1,2.965,85.09,Medium,-0.219,0.224,23.78
100009,Business,Sophomore,3.42,Debugging/Troubleshooting,Beginner,2,TRUE,1,Strict_Ban,5,3.396,55.71,Medium,0.024,0.411,4.87
100010,Business,Sophomore,3.046,Debugging/Troubleshooting,Intermediate,2,TRUE,3,Strict_Ban,8,2.978,87.18,High,0.068,0.615,32.48
100011,STEM,Graduate,3.407,Summarizing_Reading,Advanced,3,FALSE,5,Allowed_With_Citation,3,3.617,95.42,High,-0.21,0.311,16.59
100012,Medical,Junior,2.627,Direct_Answer_Generation,Intermediate,3,FALSE,3,Actively_Encouraged,3,2.699,72.41,Medium,-0.072,0.31,11.67
100013,Arts,Senior,3.479,Copywriting/Drafting,Beginner,2,FALSE,2,Actively_Encouraged,4,3.612,67.68,High,-0.133,0.242,11.81
100014,STEM,Junior,3.225,Direct_Answer_Generation,Beginner,1,FALSE,2,Allowed_With_Citation,3,3.935,64.47,Medium,-0.71,0.261,34.25
100015,STEM,Freshman,3.202,Copywriting/Drafting,Beginner,1,FALSE,2,Allowed_With_Citation,4,3.122,70.7,Low,0.08,0.069,17.74
100016,STEM,Senior,2.076,Debugging/Troubleshooting,Beginner,1,TRUE,4,Allowed_With_Citation,4,2.228,70.66,Medium,-0.152,0.539,27.33
100017,Humanities,Sophomore,2.931,Direct_Answer_Generation,Advanced,3,FALSE,5,Strict_Ban,8,3.214,59.69,Medium,-0.283,0.121,17.23
100018,Business,Senior,3.156,Direct_Answer_Generation,Advanced,4,FALSE,4,Allowed_With_Citation,5,3.39,90.65,Medium,-0.234,0.429,18.73
100019,Humanities,Junior,2.975,Summarizing_Reading,Beginner,1,FALSE,1,Allowed_With_Citation,2,3.412,53.95,Medium,-0.437,0.045,11.35
100020,STEM,Sophomore,3.305,Debugging/Troubleshooting,Intermediate,4,FALSE,1,Allowed_With_Citation,4,3.187,74.23,Medium,0.118,0.051,3.89
100021,Business,Sophomore,2.636,Copywriting/Drafting,Intermediate,4,FALSE,4,Strict_Ban,3,2.758,78.28,Low,-0.122,0.08,20.34
100022,STEM,Senior,3.529,Debugging/Troubleshooting,Beginner,1,FALSE,2,Allowed_With_Citation,6,3.358,67.56,Low,0.171,0.237,20.69
100023,STEM,Junior,3.551,Copywriting/Drafting,Intermediate,2,TRUE,2,Allowed_With_Citation,3,3.749,68.81,Medium,-0.198,0.792,13.23
100024,Humanities,Senior,3.579,Ideation,Beginner,1,TRUE,1,Allowed_With_Citation,8,3.76,55.33,Low,-0.181,0.041,11.06
100025,Humanities,Freshman,2.364,Copywriting/Drafting,Beginner,1,FALSE,8,Strict_Ban,7,2.588,63.38,Medium,-0.224,0.777,36.96
100026,Arts,Senior,3.308,Ideation,Advanced,4,TRUE,2,Actively_Encouraged,2,4,81.85,High,-0.692,0.174,13.71
100027,STEM,Sophomore,3.338,Debugging/Troubleshooting,Advanced,5,TRUE,6,Allowed_With_Citation,2,3.822,82.36,Medium,-0.484,0.566,32.91
100028,Business,Junior,3.302,Ideation,Intermediate,2,TRUE,5,Allowed_With_Citation,1,3.487,67.74,High,-0.185,0.786,30.5
100029,Business,Freshman,3.282,Ideation,Beginner,1,FALSE,1,Actively_Encouraged,4,3.088,74.67,Low,0.194,0.037,18.57
100030,STEM,Sophomore,3.638,Debugging/Troubleshooting,Advanced,4,TRUE,5,Allowed_With_Citation,4,4,61.29,Medium,-0.362,0.556,23.08
100031,Business,Senior,3.731,Direct_Answer_Generation,Intermediate,4,TRUE,2,Allowed_With_Citation,6,3.989,88.44,Low,-0.258,0.072,17.42
100032,STEM,Sophomore,1.449,Debugging/Troubleshooting,Intermediate,2,FALSE,5,Allowed_With_Citation,5,1.342,56.81,Medium,0.107,0.058,12.49
100033,STEM,Graduate,2.856,Direct_Answer_Generation,Advanced,3,FALSE,3,Allowed_With_Citation,5,3.276,74.03,Medium,-0.42,0.073,17.43
100034,Medical,Senior,3.148,Summarizing_Reading,Intermediate,5,FALSE,2,Allowed_With_Citation,1,3.335,89.14,Medium,-0.187,0.36,15.45
100035,Medical,Graduate,3.12,Summarizing_Reading,Beginner,2,TRUE,7,Allowed_With_Citation,3,3.207,67.2,High,-0.087,0.952,20.92
100036,Arts,Sophomore,3.632,Direct_Answer_Generation,Intermediate,4,TRUE,2,Strict_Ban,5,3.553,55.89,High,0.079,0.242,4.84
100037,Humanities,Freshman,3.303,Copywriting/Drafting,Advanced,3,FALSE,1,Allowed_With_Citation,5,3.145,75.11,Low,0.158,0.037,7.75
100038,STEM,Junior,3.671,Debugging/Troubleshooting,Intermediate,3,TRUE,5,Allowed_With_Citation,4,3.636,96.68,Low,0.035,0.944,17.77
100039,Business,Sophomore,2.403,Ideation,Intermediate,4,TRUE,1,Allowed_With_Citation,5,2.365,74.3,High,0.038,0.106,14.92
100040,Humanities,Junior,3.086,Debugging/Troubleshooting,Intermediate,3,FALSE,2,Actively_Encouraged,2,3.452,92.44,Medium,-0.366,0.279,15
100041,STEM,Senior,2.31,Debugging/Troubleshooting,Advanced,3,TRUE,5,Allowed_With_Citation,8,2.686,84.71,Medium,-0.376,0.445,16.12
100042,Humanities,Senior,3.539,Summarizing_Reading,Beginner,3,TRUE,1,Allowed_With_Citation,5,3.812,72.05,Low,-0.273,0.035,11.71
100043,STEM,Freshman,3.777,Debugging/Troubleshooting,Beginner,3,FALSE,3,Allowed_With_Citation,4,3.909,68.22,Medium,-0.132,0.489,16.48
100044,Medical,Senior,3.048,Summarizing_Reading,Beginner,3,FALSE,4,Strict_Ban,4,3.277,79.79,Medium,-0.229,0.363,12.88
100045,STEM,Junior,3.013,Debugging/Troubleshooting,Intermediate,3,FALSE,4,Allowed_With_Citation,7,3.447,62.75,Low,-0.434,0.607,23.83
100046,Business,Junior,3.503,Ideation,Intermediate,2,FALSE,2,Strict_Ban,5,3.942,99.25,Low,-0.439,0.23,27.56
100047,Humanities,Sophomore,3.842,Copywriting/Drafting,Intermediate,1,FALSE,4,Allowed_With_Citation,3,4,76.67,Medium,-0.158,0.346,18.1
100048,Business,Junior,3.511,Direct_Answer_Generation,Beginner,2,TRUE,2,Actively_Encouraged,3,3.567,86.73,Medium,-0.056,0.434,18.54
100049,Business,Senior,2.645,Ideation,Intermediate,3,FALSE,1,Strict_Ban,3,2.884,87.51,High,-0.239,0.595,14.75
100050,STEM,Senior,3.115,Summarizing_Reading,Intermediate,2,TRUE,5,Allowed_With_Citation,4,3.644,83.76,Medium,-0.529,0.391,34.26
100051,Medical,Sophomore,3.577,Summarizing_Reading,Advanced,4,TRUE,3,Strict_Ban,6,4,61.2,High,-0.423,0.413,26.98
100052,Arts,Senior,2.433,Debugging/Troubleshooting,Beginner,2,TRUE,6,Actively_Encouraged,5,2.903,69.95,High,-0.47,0.465,23.98
100053,Medical,Sophomore,2.958,Summarizing_Reading,Intermediate,3,TRUE,5,Allowed_With_Citation,6,3.155,59.46,Low,-0.197,0.544,20.88
100054,Medical,Senior,3.732,Ideation,Intermediate,4,TRUE,4,Allowed_With_Citation,1,3.885,79.82,Medium,-0.153,0.064,13.75
100055,Business,Junior,3.148,Summarizing_Reading,Beginner,1,FALSE,2,Allowed_With_Citation,5,3.393,62.77,Medium,-0.245,0.01,15.26
100056,Medical,Senior,3.429,Direct_Answer_Generation,Beginner,2,TRUE,6,Actively_Encouraged,2,3.521,63.38,High,-0.092,0.828,24.72
100057,STEM,Junior,3.837,Ideation,Advanced,4,TRUE,4,Strict_Ban,4,3.988,60.88,Medium,-0.151,0.137,16.29
100058,STEM,Sophomore,3.249,Ideation,Advanced,3,TRUE,4,Allowed_With_Citation,4,3.342,80.19,Medium,-0.093,0.359,27.19
100059,STEM,Junior,3.015,Debugging/Troubleshooting,Beginner,2,FALSE,3,Allowed_With_Citation,4,3.394,83.39,Medium,-0.379,0.129,20.98
100060,Humanities,Sophomore,3.167,Summarizing_Reading,Beginner,2,FALSE,2,Strict_Ban,8,3.518,70.28,Medium,-0.351,0.581,25.66
100061,Humanities,Sophomore,3.697,Ideation,Advanced,3,FALSE,4,Strict_Ban,5,3.914,77.49,Low,-0.217,0.391,16.89
100062,STEM,Freshman,3.463,Debugging/Troubleshooting,Intermediate,3,FALSE,1,Allowed_With_Citation,1,3.665,60.08,Medium,-0.202,0.216,11.41
100063,Arts,Senior,2.164,Copywriting/Drafting,Beginner,1,FALSE,6,Strict_Ban,5,2.339,77.44,High,-0.175,0.633,27.43
100064,Humanities,Freshman,2.771,Copywriting/Drafting,Intermediate,4,FALSE,2,Allowed_With_Citation,3,2.896,57.43,Low,-0.125,0.348,20.2
100065,STEM,Graduate,3.569,Ideation,Intermediate,1,FALSE,2,Actively_Encouraged,4,3.922,75.58,Low,-0.353,0.323,25.35
100066,Business,Freshman,3.074,Ideation,Intermediate,3,TRUE,3,Actively_Encouraged,5,3.416,80.16,Medium,-0.342,0.044,14.74
100067,STEM,Graduate,3.329,Debugging/Troubleshooting,Intermediate,4,TRUE,3,Allowed_With_Citation,2,3.702,80.75,Medium,-0.373,0.305,22.05
100068,Arts,Graduate,3.606,Ideation,Beginner,2,FALSE,2,Strict_Ban,3,3.758,60.58,Medium,-0.152,0.059,18.65
100069,STEM,Sophomore,3.645,Direct_Answer_Generation,Advanced,3,TRUE,4,Allowed_With_Citation,2,3.879,78.14,High,-0.234,0.721,23.22
100070,Medical,Graduate,2.838,Copywriting/Drafting,Beginner,1,TRUE,5,Allowed_With_Citation,5,2.951,65.48,Low,-0.113,0.557,17.26
100071,Arts,Graduate,3.047,Direct_Answer_Generation,Beginner,1,TRUE,6,Allowed_With_Citation,7,3.295,53.65,High,-0.248,0.588,32.05
100072,STEM,Freshman,3.117,Copywriting/Drafting,Beginner,2,FALSE,8,Allowed_With_Citation,6,3.326,45.39,Medium,-0.209,0.589,23.59
